id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,supplier_id,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable
,LD20022104,1348914961,ROUND,0.31,E,VVS2,EX,EX,EX,NON,,4.31,4.33,2.7,62.6,56,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,-32.00%,536,1728.77,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/9fd6ef2b-ab94-45cc-a7c0-6093e555ed25.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1348914961.pdf,,,,IN,N
,34911,6332558303,ROUND,0.41,H,VS2,EX,EX,EX,STG,Blue,4.73,4.71,2.96,62.6,56,NON,GIA,MED to STK,,,,,Honey Exports,72049570-7cc1-4b52-afd0-a0251e6485b0,-44.00%,512,1249.17,,,,https://1210295089.rsc.cdn77.org/Certificates/6332558303.pdf,,,,IN,N
,LD20034019,5356266889,ROUND,0.3,F,VVS1,EX,EX,EX,FNT,,4.29,4.31,2.67,62,57,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,-43.00%,458,1525,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/92fd732a-64e9-4c7a-b6cd-98e4685fb193.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5356266889.pdf,,,,IN,N
,LD20034166,6355267081,ROUND,0.3,D,VVS1,VG,EX,EX,NON,,4.2,4.22,2.68,63.8,58,None,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,-44.00%,500,1668,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/e03c09f9-2f93-44cb-9a2f-590e23d93faf.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6355267081.pdf,,,,IN,N
,EH3-23,7356388947,OVAL,1.03,F,SI1,-,EX,VG,NON,,8.34,5.77,3.31,57.4,59,Very Small,GIA,MED to THK,100%,Not brown,Not green,,African star (hk) ltd,f6e0efcb-9b29-42a6-9721-b7322986b542,-36.00%,3716,3608,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7356388947.pdf,,,,HK,N
,148-33-A,6332925368,ROUND,0.66,D,IF,EX,EX,EX,NON,,5.52,5.56,3.48,62.9,56,None,GIA,MED to STK,100%,,,,Paladiya Brothers & co,e6c24977-7efd-4b1c-95c4-1aca4bed604a,-28.17%,3110,4711.88,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6332925368.pdf,,,,IN,N
,144-8-A,6342912071,ROUND,1.08,I,SI1,EX,EX,EX,NON,,6.51,6.56,4.1,62.7,56,None,GIA,MED to STK,,,,,Paladiya Brothers & co,e6c24977-7efd-4b1c-95c4-1aca4bed604a,-35.76%,4125,3819.06,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6342912071.pdf,,,,HK,N
,LD20020625,6341868913,ROUND,1,I,SI2,G,EX,EX,NON,,6.06,6.1,4,65.8,57,None,GIA,STK to VTK,90%,Not brown,Not green,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,-49.24%,2550,2549.51,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/ea675a36-ed16-4bbf-9b16-f174ed410a58.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6341868913.pdf,,,,IN,N
,LD20034061,7353266856,ROUND,0.3,E,VVS2,VG,EX,VG,NON,,4.18,4.23,2.68,63.8,58,None,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,-42.00%,448,1492,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/e4e573f7-e1e1-48cc-85b1-190d853b4984.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7353266856.pdf,,,,IN,N
,591J-353,1338114665,ROUND,0.5,J,SI2,G,VG,VG,MED,Blue,4.86,4.91,3.18,65,60,None,GIA,STK to VTK,,Brown,,Not milky,HVK,f95fe61a-0dd0-4cdc-ab3c-5e8c5869a2df,-53.00%,500,1000,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1338114665.pdf,,,,IN,N
,136F-23-A,5336540668,ROUND,0.7,E,VVS1,EX,EX,VG,NON,,5.61,5.68,3.54,62.8,54,None,GIA,MED to STK,100%,,,,Paladiya Brothers & co,e6c24977-7efd-4b1c-95c4-1aca4bed604a,-40.75%,2551,3643.87,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5336540668.pdf,,,,HK,N
,131A-7-A,1345291623,ROUND,1.5,F,SI1,EX,EX,EX,STG,Blue,7.23,7.28,4.6,63.4,58,None,GIA,MED to STK,,,,,Paladiya Brothers & co,e6c24977-7efd-4b1c-95c4-1aca4bed604a,-47.70%,7446,4963.9,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1345291623.pdf,,,,HK,N
,148-3-A,7331976533,ROUND,0.6,K,VS1,EX,VG,EX,MED,Blue,5.33,5.38,3.39,63.2,57,None,GIA,MED to STK,100%,,,,Paladiya Brothers & co,e6c24977-7efd-4b1c-95c4-1aca4bed604a,-36.38%,793,1322.4,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7331976533.pdf,,,,IN,N
,COM55-14,2337141639,ROUND,0.23,D,VVS1,EX,EX,EX,NON,,3.95,3.94,2.43,61.6,57,NON,GIA,THN to STK,100%,Not brown,Not green,Not milky,HVK,f95fe61a-0dd0-4cdc-ab3c-5e8c5869a2df,2.00%,394,1711.43,,,,TRUE,,,,IN,N
,136F-47-A,1333554151,ROUND,0.72,H,VS2,G,EX,VG,NON,,5.41,5.48,3.63,66.6,55,None,GIA,VTK,,,,,Paladiya Brothers & co,e6c24977-7efd-4b1c-95c4-1aca4bed604a,-51.35%,1400,1944.78,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1333554151.pdf,,,,HK,N
