id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,lwratio,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id,created_at,updated_at,deleted_at
25,DB1-19H,6335748132,PEAR,0.40,I,VS2,-,VG,VG,FNT,,,6.49,4.28,2.41,56.4,60,None,GIA,THK to VTK,100%,Not brown,Not green,,-43.00%,342.00,855.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/aaecd742-b7fb-4c56-8bce-7f818fc3004e.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6335748132.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
26,DR2-1,6342370051,PEAR,2.00,E,SI1,-,EX,EX,NON,,,11.27,7.07,4.22,59.7,62,NON,GIA,STK to VTK,100%,Not brown,Not green,,-33.00%,15410.00,7705.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/8475741d-cc6e-4438-8196-6e1d2501be4e.jpg,https://www.gia.edu/report-check?reportno=6342370051,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
27,DR1-4B,6345123874,ROUND,2.50,F,SI2,EX,EX,EX,STG,Blue,,8.71,8.65,5.35,61.6,60,NON,GIA,MED to STK,100%,Not brown,Not green,,-36.00%,16000.00,6400.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/71e91d8f-358c-4866-9510-367b592f1447.jpg,https://www.gia.edu/report-check?reportno=6345123874,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
28,DR3-2M,7348123869,ROUND,3.01,F,I1,EX,EX,EX,MED,Blue,,9.16,9.23,5.75,62.6,58,None,GIA,STK,100%,Not brown,Not green,,-11.00%,19555.97,6497.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7348123869.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
29,EE-2,1345613129,ROUND,2.03,I,SI2,EX,EX,EX,NON,,,8.25,8.20,4.91,59.7,60,NON,GIA,MED to STK,100%,Not brown,Not green,,-37.00%,10614.87,5229.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/95dc824c-8184-4afc-b30d-d8f99dc9ba37.jpg,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2020/1/15/1345613129.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
30,ED-5,1349446704,ROUND,2.51,H,SI1,EX,EX,EX,NON,,,8.65,8.60,5.43,63.0,56,NON,GIA,MED to STK,100%,Not brown,Not green,,-23.00%,20293.35,8085.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/79741a7a-9f09-43dd-b778-ca7182449374.jpg,https://www.gia.edu/report-check?reportno=1349446704,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
31,ED-13A,1348706575,ROUND,1.00,G,I1,VG,VG,VG,NON,,,6.45,6.53,3.79,58.4,64,None,GIA,MED to THK,100%,Not brown,Not green,,-42.00%,2262.00,2262.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1348706575.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
32,ED-12A,2344539552,ROUND,1.50,L,SI1,EX,EX,EX,FNT,,,7.32,7.36,4.53,61.7,60,None,GIA,STK,100%,Not brown,Not green,,-36.00%,3936.00,2624.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2344539552.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
33,DR4-7E,2346558151,ROUND,0.81,E,I1,EX,EX,EX,NON,,,5.92,5.95,3.72,62.7,58,None,GIA,MED to STK,100%,Not brown,Not green,,-20.00%,1749.60,2160.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2346558151.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
34,EF2-1B,2346613187,ROUND,3.00,D,SI2,EX,EX,EX,NON,,,9.2,9.26,5.66,61.3,61,None,GIA,MED to STK,100%,Not brown,Not green,,-27.00%,37230.00,12410.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2346613187.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
