ID,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble
3655,L282011501,5343286351,ROUND,0.40,D,VS1,GD,EX,GD,MED,Blue,4.53,4.48,2.96,65.7,58,NON,GIA,STK to VTK,100%,Not brown,Not green,Not milky,unknown,-60.58%,488.80,1222.00,,,,http://www.pkstone.co.in/PK/CERTI/5343286351.jpg,,
3656,201193-GB,6342547256,ROUND,0.40,H,VS2,EX,EX,VG,FNT,,4.73,4.66,2.94,62.5,57,NON,GIA,MED to STK,,,,,unknown,-42.00%,533.60,1334.00,,,http://220.158.137.43/imaged/201193/still.jpg,true,,
3657,69864-GB,2347548662,ROUND,0.40,F,IF,EX,EX,EX,NON,,4.72,4.68,2.93,62.2,60,NON,GIA,MED to STK,100%,,,,unknown,-31.20%,963.20,2408.00,,,http://220.158.137.43/imaged/69864/still.jpg,true,,
3658,L292015201,2356025992,ROUND,0.40,H,VVS1,EX,VG,VG,NON,,4.68,4.72,2.93,62.2,59,,GIA,Slight Thick,100%,Not brown,Not green,Not milky,unknown,-39.77%,626.40,1566.00,,,,,,
3659,60218-GB,5202304829,ROUND,0.40,D,SI1,EX,EX,EX,STG,,4.83,4.79,2.88,59.90,60.00,NON,GIA,STK,,,,,unknown,-50.70%,493.00,1232.50,,,http://220.158.137.43/imaged/60218/still.jpg,true,,
3660,201231-GB,6342559636,ROUND,0.40,G,VVS2,VG,EX,VG,NON,,4.63,4.58,2.96,64.3,57,NON,GIA,STK to THK,100%,,,,unknown,-42.70%,618.84,1547.10,,,http://220.158.137.43/imaged/201231/still.jpg,true,,
3661,7NK2-9A2,7346738566,ROUND,0.40,H,VS1,EX,EX,EX,NON,,4.70,4.67,2.92,62.3,57,NON,GIA,THN to STK,100%,Not brown,,Not milky,unknown,-34.00%,633.60,1584.00,,,https://www.kbstone.in/files/Dia%20Image/newvideos/imaged/7NK2-9A2/still.jpg,https://www.kbstone.in/files/Dia%20Image/imges/cert/7NK2-9A2.pdf,,
3662,SARADIAMONDSPRIVATELIMITED202920,5353044711,ROUND,0.40,I,VS2,GD,EX,VG,NON,,4.73,4.76,2.87,60.50,67.00,,GIA,Medium - Thick,,,,,unknown,-45.00%,462.00,1155.00,,,,,,
3663,L287006901,6342803585,ROUND,0.40,F,SI1,GD,EX,VG,NON,,4.48,4.54,2.97,65.8,63,,GIA,Very Thick,100%,Not brown,Not green,Not milky,unknown,-44.36%,489.60,1224.00,,,,http://www.pkstone.co.in/PK/CERTI/6342803585.jpg,,
3664,SARADIAMONDSPRIVATELIMITED200639,6342348673,ROUND,0.40,I,VS2,GD,EX,VG,NON,,4.83,4.81,2.84,59.0,55,NON,GIA,MED to STK,,,,,unknown,-45.00%,462.00,1155.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/12/18/6342348673.pdf,,
3665,84H-9A2,6295963740,ROUND,0.40,F,SI2,EX,EX,EX,FNT,,4.72,4.75,2.93,,58.00,,GIA,,,Not brown,,Not milky,unknown,-41.00%,448.40,1121.00,,,https://www.kbstone.in/files/Dia%20Image/newvideos/imaged/84H-9A2/still.jpg,https://www.kbstone.in/files/Dia%20Image/imges/cert/84H-9A2.pdf,,
3666,64579-GE,2324996065,ROUND,0.40,J,VVS1,VG,EX,VG,FNT,,4.65,4.59,2.98,64.40,56.00,NON,GIA,THK,100%,,,,unknown,-49.90%,420.84,1052.10,,,http://220.158.137.43/imaged/64579/still.jpg,true,,
3667,64286-GB,6322984838,ROUND,0.40,D,VS1,GD,VG,GD,FNT,,4.58,4.52,2.95,64.80,63.00,NON,GIA,VTK,100%,,,,unknown,-54.40%,565.44,1413.60,,,http://220.158.137.43/imaged/64286/still.jpg,true,,
3668,69233-GB,1345024882,ROUND,0.40,I,VS1,VG,VG,VG,FNT,,4.63,4.59,2.95,64.0,57,NON,GIA,STK to THK,100%,,,,unknown,-45.00%,484.00,1210.00,,,http://220.158.137.43/imaged/69233/still.jpg,true,,
