id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id,
,LD200110152,7341791025,ROUND,0.25,F,VS2,EX,VG,VG,NON,,4.02,4.05,2.45,60.7,60,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-9.00%,346,1384.96,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7341791025.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD200110002,6341787870,ROUND,0.53,D,VS1,EX,EX,EX,MED,Blue,5.17,5.2,3.2,61.7,59,None,GIA,MED,100%,Not brown,Not green,Not milky,Laxmi,-52.00%,1098,2072.6,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/5fc12e18-7daa-4f2c-8897-40b19217d953.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6341787870.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,G432-140651,2357363702,ROUND,0.5,H,SI1,VG,EX,VG,NON,,4.96,4.99,3.21,64.5,56,None,GIA,MED to THK,90%,Not brown,,,Shivam Jewels,-43.00%,857,1713,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9zandvcmxkaW1nLmF6dXJlZWRnZS5uZXQvc2ppbWcvaW1hZ2VzL1Zpc2lvbjM2MC5odG1sP2Q9RzQzMi0xNDA2NTE=,256,https://nivoda-images.s3.eu-west-2.amazonaws.com/79b56167-41d6-4017-8162-c17a1dc6f919.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2357363702.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,
,HK1436973,1348680080,ROUND,0.32,I,VVS1,EX,EX,EX,FNT,,4.36,4.38,2.73,62.5,56,None,GIA,MED to STK,100%,,,Not milky,Hari Krishna,-47.25%,368,1148.78,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1348680080.pdf,,,,HK,N,1d8066ed-4b96-490d-9dd5-e68a649fd592,
,G448-141075,6352339954,ROUND,0.6,H,SI2,VG,VG,VG,NON,,5.31,5.33,3.43,64.5,56,None,GIA,STK to THK,85%,Not brown,,,Shivam Jewels,-38.00%,886,1476,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9zandvcmxkaW1nLmF6dXJlZWRnZS5uZXQvc2ppbWcvaW1hZ2VzL1Zpc2lvbjM2MC5odG1sP2Q9RzQ0OC0xNDEwNzU=,256,https://nivoda-images.s3.eu-west-2.amazonaws.com/7ddaf799-42c0-4cd6-9bd4-6df19c823457.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6352339954.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,
,214-973-26-B,1358117774,PEAR,1,H,VS1,-,EX,VG,STG,Blue,9.36,5.63,3.11,55.3,64,None,GIA,THK to ETK,100%,Not brown,Not green,Not milky,Chintamani gems,-42.00%,3091,3091.4,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1358117774.pdf,,,,IN,N,0e198698-1f5c-499c-ac8e-eb508a168c66,
,LD19093065,1333764817,ROUND,0.2,E,VS1,EX,EX,EX,NON,,3.81,3.8,2.28,59.8,59,NON,GIA,THN to STK,100%,Not brown,Not green,Not milky,Laxmi,9.00%,281,1403.45,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/66939548-58a8-4027-81a7-eeebce83bdde.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19093065.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD200110000,7346786039,ROUND,0.2,F,VVS2,EX,EX,VG,NON,,3.82,3.83,2.26,59,62,None,GIA,MED,100%,Not brown,Not green,Not milky,Laxmi,-3.00%,282,1411,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/11c170ae-9be7-40be-bd19-1e58f88087b1.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7346786039.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD19124890,5346418849,ROUND,0.24,D,VS2,EX,EX,EX,FNT,,4.04,4.02,2.44,60.4,59,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-4.00%,350,1459.42,,,,https://www.laxmidiamond.com/certifiedstone/certificate/LD19124890.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,YZ09130804809,6351241300,ROUND,0.5,I,VVS2,G,EX,VG,FNT,,4.8,4.88,3.21,66.3,57,None,GIA,STK to VTK,100%,,,,China Star ,-56.35%,663,1325.84,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/7989aab4-9f03-4774-b10f-37cf798d4c52.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6351241300.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568,
,159C-82-A,7348037594,OVAL,0.5,E,VVS2,-,EX,EX,MED,Blue,6.52,4.52,2.72,60.2,56,None,GIA,MED to THK,100%,,,,Paladiya Brothers & co,-56.02%,690,1379.4,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7348037594.pdf,,,,IN,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a,
,LD19124194,7348405446,ROUND,0.26,D,VVS1,EX,EX,EX,NON,,4.09,4.07,2.54,62.3,59,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,19.00%,510,1959.81,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/7e223803-b82d-420d-ad34-41409b8d5d93.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19124194.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD19125232,5346417082,ROUND,0.2,F,VVS2,EX,EX,EX,NON,,3.76,3.73,2.34,62.5,57,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,1.00%,293,1463,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/622f445a-0792-4026-9501-dc348e4c5ac8.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19125232.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD20017109,5346712430,ROUND,0.72,F,VS2,EX,EX,EX,STG,Blue,5.76,5.73,3.56,61.9,58,NON,GIA,MED,100%,Not brown,Not green,Not milky,Laxmi,-49.00%,1731,2404.65,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/89148d2b-d8e4-4f78-8198-fcaafae645b4.jpg,https://certifiedstone.info/certificate/LD20017109.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD20014573,7348639436,ROUND,0.45,D,VS1,EX,EX,EX,NON,,4.89,4.94,3.06,62.2,56,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-26.50%,989,2198.18,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/c3d6e574-1bbd-4a77-a27d-f31f833f8f55.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7348639436.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD19124202,1347405150,ROUND,0.26,D,VVS1,EX,EX,EX,NON,,4.11,4.09,2.52,61.6,60,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,26.00%,538,2068.38,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/b82bb3c9-b677-46f7-ae7a-1ea015650098.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19124202.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD19124638,6342418224,ROUND,0.27,E,IF,EX,EX,EX,NON,,4.2,4.18,2.57,61.3,59,NON,GIA,STK,100%,Not brown,Not green,Not milky,Laxmi,21.00%,536,1986.59,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/00e38662-41ba-4d06-9559-c84f75d76599.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19124638.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD20020692,1345866247,ROUND,0.3,F,IF,VG,VG,VG,NON,,4.22,4.18,2.69,64.2,58,NON,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,-40.00%,498,1660,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/ff1be5c4-2cc8-470a-9b53-af4e390fbd60.jpg,https://certifiedstone.info/certificate/LD20020692.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD19125225,7348419473,ROUND,0.25,D,VS2,EX,EX,EX,NON,,4.06,4.03,2.53,62.6,57,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,9.00%,409,1635.08,,,,https://www.laxmidiamond.com/certifiedstone/certificate/LD19125225.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,42347,1348673923,ROUND,0.6,F,SI2,EX,EX,EX,STG,Blue,5.45,5.48,3.31,60.6,60,None,GIA,MED to STK,,,,,Honey Exports,-46.00%,840,1400,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f3873171-1591-4d6e-833c-6428af04d1f7.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1348673923.pdf,,,,IN,N,72049570-7cc1-4b52-afd0-a0251e6485b0,
,LD19124595,7341417005,ROUND,0.25,F,VS1,EX,EX,EX,NON,,4.05,4.04,2.49,61.6,58,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,2.00%,384,1537.84,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/6fb7bc62-18bf-42c9-9357-10679627e4c2.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19124595.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD200111115,7346840773,PRINCESS,0.51,F,VVS2,-,EX,VG,NON,,4.39,4.39,3.11,70.8,70,NON,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,-45.52%,780,1529.82,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/ef48c66f-1e15-4e29-90ae-6bac81c5e757.jpg,https://certifiedstone.info/certificate/LD200111115.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
