id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
19829,428E-165-A,6342880048,ROUND,0.43,F,VS1,EX,EX,EX,FNT,,4.81,4.83,3.03,62.8,56,None,GIA,STK,100%,,,,Paladiya Brothers & co,-39.71%,704,1637.3,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6342880048.pdf,,,,HK,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
19830,LD20017471,6341726886,PEAR,0.5,D,SI1,-,GD,VG,MED,Blue,6.92,4.24,2.76,65.1,58,NON,GIA,THK to VTK,100%,Not brown,Not green,Not milky,Laxmi,-51.50%,636,1272.5,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/181d530d-9f03-4fcc-912a-4298390fa920.jpg,https://certifiedstone.info/certificate/LD20017471.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
19831,428E-162-A,6342879846,ROUND,0.4,E,VVS1,EX,EX,VG,NON,,4.67,4.72,2.92,62.3,57,None,GIA,MED to STK,100%,,,,Paladiya Brothers & co,-33.09%,913,2283.03,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6342879846.pdf,,,,HK,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
19832,11445,2205606155,ROUND,0.29,D,FL,EX,EX,EX,NON,,4.25,4.27,2.64,62.1,58,None,GIA,MED,100%,,,,SHINE JEWELS,124.39%,1039,3581.48,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2205606155.pdf,,,,unknown,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
19833,3882,6305229738,ROUND,0.24,D,VVS2,EX,VG,VG,NON,,4.04,4.01,2.43,60.3,61,NON,GIA,MED,100%,,,,SHINE JEWELS,102.61%,784,3265.46,,,,,,,,unknown,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
19834,4461,6312089027,ROUND,0.22,D,FL,EX,EX,EX,NON,,3.85,3.88,2.4,62,56,None,GIA,THN to MED,100%,,,,SHINE JEWELS,142.38%,723,3287.32,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6312089027.pdf,,,,unknown,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
19835,LD20025191,5353018092,ROUND,0.26,D,VS1,EX,VG,EX,NON,,4.06,4.08,2.56,62.8,57,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,1.00%,395,1519.27,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5353018092.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
19836,3871,6302608672,ROUND,0.3,D,VVS1,EX,VG,EX,NON,,4.31,4.28,2.65,61.8,57,NON,GIA,MED to STK,100%,,,,SHINE JEWELS,20.08%,1039,3462.1,,,,,,,,unknown,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
19837,10952,1315320723,ROUND,0.22,D,FL,EX,EX,EX,NON,,3.93,3.9,2.4,61.4,57,NON,GIA,MED to STK,100%,,,,SHINE JEWELS,142.38%,723,3287.32,,,,https://ecweb01.s3.amazonaws.com/Images/1315320723.jpg,,,,HK,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
19838,F1489,6321204297,OVAL,0.4,H,VVS2,-,EX,VG,NON,,5.88,4.22,2.56,60.6,59,Very Small,GIA,THN to THK,100%,Not brown,Not green,Not milky,Aadi Exports,-40.00%,510,1275,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/35f98d8f-5316-425f-bb38-15b6b62ee39d.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6321204297.pdf,,,,IN,N,a9567d79-36b4-44f3-ac7a-1f2e24e22d71
