id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
6585,LD20014258,6345631005,ROUND,0.4,F,VVS2,EX,EX,EX,NON,,4.71,4.75,2.95,62.3,58,None,GIA,MED,100%,Not brown,Not green,Not milky,Laxmi,-34.50%,764,1909,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/d1e70902-ddf7-43e1-a548-c072b213018f.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6345631005.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
6586,OF-81,6342027798,ROUND,0.35,J,SI1,EX,EX,EX,FNT,,4.58,4.61,2.73,59.4,60,None,GIA,MED,,Not brown,,Not milky,Super Solitaire Hk Ltd,-32.61%,360,1029.23,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6342027798.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
6587,OG-145,2347146222,ROUND,0.4,E,VVS2,VG,VG,VG,FNT,,4.78,4.82,2.83,58.9,59,None,GIA,MED to STK,100%,Not brown,,Not milky,Super Solitaire Hk Ltd,-46.50%,672,1680,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347146222.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
6588,NV-38,2337666266,ROUND,0.41,F,SI1,EX,EX,EX,MED,Blue,4.74,4.77,2.94,61.9,58,None,GIA,MED to STK,,Not brown,,Not milky,Super Solitaire Hk Ltd,-38.71%,558,1360.17,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2337666266.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
6589,PD-95,6342256879,ROUND,0.33,H,SI1,EX,EX,EX,NON,,4.43,4.45,2.72,61.4,58,None,GIA,MED to STK,,Not brown,,Not milky,Super Solitaire Hk Ltd,-28.60%,407,1233.3,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6342256879.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
6590,626100502,7352251946,ROUND,0.3,D,VVS1,EX,EX,EX,NON,,4.37,4.4,2.57,58.6,62,None,GIA,THN to MED,100%,Not brown,Not green,Not milky,C Dinesh,-32.14%,600,2000,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7352251946.pdf,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
6591,LD19106269,1335956331,ROUND,0.26,F,VVS2,EX,EX,EX,NON,,4.1,4.08,2.56,62.7,56,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,4.00%,449,1727.35,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/1e0c548d-20ca-4463-8d47-b29d15cf050a.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19106269.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
6592,LD19101130,1337872857,EMERALD,0.8,F,VVS2,-,EX,VG,NON,,6.08,4.43,3.07,69.4,65,NON,GIA,VTK,100%,Not brown,Not green,Not milky,Laxmi,-43.00%,1963,2453.85,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MTAxMTMw,128,https://nivoda-images.s3.eu-west-2.amazonaws.com/0a010d68-a3f5-41f9-9cb7-ee7a9c975c8d.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19101130.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
6593,PD-12,6345327414,ROUND,0.31,J,VVS2,EX,EX,EX,FNT,,4.31,4.34,2.69,62.2,58,None,GIA,MED to STK,100%,Not brown,,Not milky,Super Solitaire Hk Ltd,-34.46%,375,1210.97,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6345327414.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
6594,TC04216131963,2357225573,ROUND,0.33,D,VVS1,EX,EX,EX,NON,,4.44,4.48,2.71,60.7,62,None,GIA,MED to STK,100%,,,,China Star ,-36.79%,614,1860.79,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f5a5dcdd-88ab-4940-82e4-3ad89d83961e.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2357225573.pdf,,,,unknown,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
6595,LD19104985,7336945226,ROUND,1.13,I,VS2,EX,EX,EX,NON,,6.66,6.64,4.13,62.2,57,NON,GIA,THN to STK,100%,Not brown,Not green,Not milky,Laxmi,-31.61%,4832,4276.02,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MTA0OTg1,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/12c45c65-eedd-47bb-ab32-3e5c940825ba.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19104985.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
6596,NL-31,6335395935,ROUND,1,H,SI1,VG,EX,VG,MED,Blue,6.24,6.32,4.03,64.2,57,None,GIA,THN to THK,,Not brown,,Not milky,Super Solitaire Hk Ltd,-52.10%,3093,3093.14,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6335395935.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
6597,LD19100768,7338872796,PRINCESS,0.7,E,VS2,-,EX,VG,NON,,4.78,4.74,3.57,75.3,70,NON,GIA,VTK,100%,Not brown,Not green,Not milky,Laxmi,-51.50%,1392,1988.5,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MTAwNzY4,128,https://nivoda-images.s3.eu-west-2.amazonaws.com/2b9ddec2-1537-422f-8ac6-50cfd27dd901.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19100768.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
6598,NX-159,6331760543,ROUND,0.76,F,SI2,EX,EX,EX,NON,,5.83,5.86,3.6,61.6,59,None,GIA,MED to STK,,Not brown,,Not milky,Super Solitaire Hk Ltd,-36.89%,1622,2134.57,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6331760543.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
6599,OD-17,2337907012,ROUND,0.87,H,IF,EX,EX,EX,FNT,,6.11,6.14,3.76,61.5,58,None,GIA,MED to STK,100%,Not brown,,Not milky,Super Solitaire Hk Ltd,-21.10%,3448,3962.76,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2337907012.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
6600,MR-3,1323309399,ROUND,0.4,D,I1,VG,EX,G,NON,,4.71,4.73,2.92,61.9,58,None,GIA,MED to STK,,Not brown,,Not milky,Super Solitaire Hk Ltd,-27.05%,526,1315.2,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1323309399.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
6601,804351,6311964794,MARQUISE,0.25,E,SI2,-,EX,VG,NON,,6.66,3.21,2.02,62.9,57,NON,GIA,STK to VTK,,Not brown,Not green,,Janam Corporation Pvt Ltd,13.99%,252,1009.12,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
