id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
23446,3884,7282366414,ROUND,0.23,D,FL,EX,EX,EX,NON,,3.92,3.89,2.43,62.2,56,NON,GIA,MED to STK,100%,,,,SHINE JEWELS,111.42%,784,3407.43,,,,,,,,unknown,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
23447,LD19127946,1349492348,ROUND,0.2,F,VVS2,EX,EX,EX,NON,,3.73,3.7,2.33,62.9,56,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,5.00%,303,1515.05,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/014f72de-7219-48e2-99a9-91d4fd15bc81.jpg,https://certifiedstone.info/certificate/LD19127946.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23448,203363-GC,6351341460,ROUND,0.7,E,SI1,VG,VG,G,FNT,,5.52,5.6,3.57,64.2,55,None,GIA,MED to THK,,,,,Vaishali Gems,-54.00%,1386,1980.3,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6351341460.pdf,,,,HK,Y,0f73b5bb-6b58-4f06-964b-d20097ee9d3b
23449,315D-208-A,6352141435,ROUND,0.51,F,SI1,VG,VG,VG,NON,,4.97,5.01,3.21,64.2,56,None,GIA,STK to THK,,,,,Paladiya Brothers & co,-44.02%,915,1794.2,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6352141435.pdf,,,,HK,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
23450,3868,2294490715,ROUND,0.3,D,VVS2,EX,EX,VG,NON,,4.3,4.29,2.65,61.6,57,NON,GIA,MED to STK,100%,,,,SHINE JEWELS,29.31%,1039,3462.1,,,,,,,,unknown,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
23451,LD19110413,7341213557,ROUND,0.21,F,VS1,EX,EX,EX,NON,,3.82,3.81,2.35,61.5,55,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,4.00%,281,1338.9,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f5f1d63b-8951-442c-8468-82ef974403a8.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19110413.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23452,10966,2205936965,ROUND,0.31,D,FL,EX,EX,EX,NON,,4.37,4.34,2.65,60.9,59,NON,GIA,MED to STK,100%,,,,SHINE JEWELS,3.44%,1184,3820.61,,,,,,,,HK,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
23453,LD19122275,6341332745,ROUND,0.91,E,VS1,VG,EX,EX,MED,Blue,6.04,5.99,3.88,64.5,59,NON,GIA,THK,100%,Not brown,Not green,Not milky,Laxmi,-49.31%,3404,3740.99,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/9787df81-fc6a-4600-930f-6c6f68e6c4ae.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19122275.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23454,16928,6345527028,PEAR,0.5,E,VS2,-,VG,VG,NON,,6.58,4.44,2.77,62.4,56,None,GIA,STK to THK,,,,,Sun Impex,-48.00%,706,1412,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/7166dd13-07a8-4bcd-9559-e902d29a125c.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6345527028.pdf,,,,HK,N,658c98e1-d74b-4efa-b244-be1a2cefc023
23455,LD19126875,2344462346,ROUND,0.45,H,VVS2,VG,EX,EX,NON,,4.87,4.84,3.09,63.7,58,NON,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,-30.05%,754,1675.51,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/cded98c3-87ae-45c0-bf76-35e2a8bb381d.jpg,https://certifiedstone.info/certificate/LD19126875.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23456,LD19127888,2346485823,ROUND,0.3,D,VVS2,VG,EX,VG,NON,,4.29,4.27,2.62,61.2,61,NON,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,-44.00%,467,1556,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/690672c2-1b2f-432f-b23d-fd724b626e9b.jpg,https://certifiedstone.info/certificate/LD19127888.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23457,LD20031753,1359219050,ROUND,0.51,F,SI1,EX,EX,EX,NON,,5.14,5.16,3.15,61.1,61,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-35.05%,1057,2072.27,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9jZXJ0aWZpZWRzdG9uZS5pbmZvL3ZpZXdlci92aXNpb24zNjAuaHRtbD9kPUxEMjAwMzE3NTM=,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/7a26d57a-eb0a-4b9f-9d2d-eff855a48ce9.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1359219050.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23458,LD20030892,2356179483,ROUND,1,J,VVS1,EX,EX,VG,MED,Blue,6.39,6.44,3.93,61.3,60,None,GIA,STK,100%,Not brown,Not green,Not milky,Laxmi,-44.14%,3378,3378.13,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9jZXJ0aWZpZWRzdG9uZS5pbmZvL3ZpZXdlci92aXNpb24zNjAuaHRtbD9kPUxEMjAwMzA4OTI=,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/7a7f9079-5e03-4671-8056-9303eb164051.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2356179483.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23459,LD19110636,7348215130,ROUND,0.24,F,VVS1,EX,EX,EX,NON,,3.99,3.98,2.47,62.1,57,NON,GIA,MED to STK,100%,Light Brown,Not green,Not milky,Laxmi,-3.00%,391,1628.54,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/a5de5b70-21df-42d8-899c-20367c1530e2.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19110636.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23460,LD19127538,6341485979,ROUND,0.24,E,VVS2,EX,EX,EX,NON,,4.01,3.98,2.48,62,58,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-0.99%,398,1659.58,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/56f957e3-dfba-4ea1-a050-e9c50974bec8.jpg,https://certifiedstone.info/certificate/LD19127538.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23461,79511,2346723220,CUSHION MODIFIED,1.01,H,SI1,-,EX,VG,NON,,5.74,5.66,3.92,69.1,62,None,GIA,THN to STK,,Not brown,,Not milky,Sagar Enterprise,-47.00%,2634,2607.83,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/2c9b0f00-6ff5-4a88-8b16-999a1996737a.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2346723220.pdf,,,,AE,N,e8af6b4d-0eb8-49f9-869b-c5420a3a0cea
23462,LD19127870,7348485826,ROUND,0.25,D,VVS2,EX,EX,EX,NON,,4.04,4.02,2.52,62.5,56,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,8.00%,449,1794,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/392150f2-503c-491f-a095-f810b9c700de.jpg,https://certifiedstone.info/certificate/LD19127870.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23463,LD19127999,5346485699,PEAR,0.5,F,SI1,-,VG,VG,FNT,,6.74,4.26,2.88,67.7,58,NON,GIA,THK to VTK,100%,Not brown,Not green,Not milky,Laxmi,-50.00%,580,1160,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/7b053962-246d-460a-a2b4-b6ad7098a22b.jpg,https://certifiedstone.info/certificate/LD19127999.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23464,LD19127630,5346485947,ROUND,0.6,J,VVS1,VG,EX,EX,NON,,5.3,5.27,3.38,64,58,NON,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,-33.00%,1075,1792,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/827191c8-3938-4151-b918-2d3ff4c9dbb3.jpg,https://certifiedstone.info/certificate/LD19127630.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23465,LD20031758,6351222177,ROUND,0.33,E,VS1,EX,EX,EX,NON,,4.41,4.43,2.76,62.5,56,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-35.00%,502,1520.91,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9jZXJ0aWZpZWRzdG9uZS5pbmZvL3ZpZXdlci92aXNpb24zNjAuaHRtbD9kPUxEMjAwMzE3NTg=,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/756e4174-addf-44eb-8172-53f9fd653ebc.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6351222177.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23466,LD20030836,5353179134,ROUND,1,H,SI2,F,EX,VG,FNT,,5.97,6.03,4.16,69.3,57,None,GIA,STK to ETK,90%,Not brown,Not green,Not milky,Laxmi,-56.88%,2342,2342.49,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9jZXJ0aWZpZWRzdG9uZS5pbmZvL3ZpZXdlci92aXNpb24zNjAuaHRtbD9kPUxEMjAwMzA4MzY=,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/22e5f19e-1c30-43b6-b940-6780555ab5ba.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5353179134.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23467,17242,6351058623,PEAR,0.4,H,VVS2,-,EX,VG,NON,,6.8,4.16,2.32,55.8,62,None,GIA,STK to VTK,100%,,,,Sun Impex,-43.00%,486,1215,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/44001a6e-30e9-4b73-a52f-1f92ac95c52e.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6351058623.pdf,,,,HK,N,658c98e1-d74b-4efa-b244-be1a2cefc023
23468,16962,1349576567,PEAR,0.41,D,SI1,-,EX,VG,NON,,6.57,4.17,2.38,57,57,None,GIA,STK to VTK,,,,,Sun Impex,-44.00%,466,1137.17,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/c2b1161d-7c83-4a28-9d41-62ac60f127e2.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1349576567.pdf,,,,HK,N,658c98e1-d74b-4efa-b244-be1a2cefc023
23469,LD19127599,2347492544,ROUND,0.24,F,VS1,EX,EX,EX,FNT,,4.09,4.07,2.4,58.9,60,NON,GIA,MED,100%,Not brown,Not green,Not milky,Laxmi,-2.00%,357,1487.21,,,,https://certifiedstone.info/certificate/LD19127599.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23470,LD19127549,5343485406,ROUND,0.23,D,VVS1,EX,EX,EX,NON,,3.97,3.95,2.44,61.6,57,NON,GIA,MED,100%,Not brown,Not green,Not milky,Laxmi,13.00%,433,1881.91,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/2c755a87-a149-4116-92d4-1674a88f0eba.jpg,https://certifiedstone.info/certificate/LD19127549.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23471,LD20031436,2356235232,PEAR,1.21,E,SI1,-,EX,EX,NON,,9.51,5.98,3.64,60.8,57,None,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,-34.00%,4666,3856.05,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9jZXJ0aWZpZWRzdG9uZS5pbmZvL3ZpZXdlci92aXNpb24zNjAuaHRtbD9kPUxEMjAwMzE0MzY=,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/e86c7b17-07b6-4c4b-b0d0-f2c2c0b1ad05.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2356235232.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23472,228-4A,6345889224,PRINCESS,0.31,F,VS2,-,EX,VG,NON,,3.81,3.64,2.41,66.2,74,None,GIA,VTK to ETK,,,,Not milky,SHREE RAMDOOT GEMS LLP,-36.50%,325,1049.26,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6345889224.pdf,,,,IN,N,efab5e1c-0e13-411a-b955-2b734f74ce71
23473,16980,7343456276,PEAR,0.51,F,IF,-,EX,VG,NON,,6.75,4.44,2.77,62.5,60,None,GIA,THK to VTK,100%,,,,Sun Impex,-49.00%,836,1639.82,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/bb6a252d-2316-4ca7-856b-1c28c29d6bec.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7343456276.pdf,,,,HK,N,658c98e1-d74b-4efa-b244-be1a2cefc023
23474,LD19110799,7346235558,ROUND,0.3,D,VVS2,EX,EX,EX,NON,,4.37,4.35,2.6,59.6,61,NON,GIA,MED,100%,Not brown,Not green,Not milky,Laxmi,-32.00%,560,1868,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MTEwNzk5,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/b7c40930-98f5-48bc-acd5-4111dc483568.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19110799.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
